[2025-08-07 15:03:40,863] INFO django.utils.autoreload run_with_reloader:667 - Watching for file changes with StatReloader
[2025-08-07 15:04:35,470] INFO django.server log_message:213 - "PUT /api/users/5/ HTTP/1.1" 200 355
[2025-08-07 15:04:37,016] INFO django.server log_message:213 - "GET /api/users/ HTTP/1.1" 200 3562
[2025-08-07 15:05:26,030] INFO django.server log_message:213 - "PUT /api/users/5/ HTTP/1.1" 200 354
[2025-08-07 15:05:27,876] INFO django.server log_message:213 - "GET /api/users/ HTTP/1.1" 200 3561
[2025-08-07 15:06:32,263] INFO django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 200 289
[2025-08-07 15:06:32,772] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 15:06:34,128] INFO django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 200 289
[2025-08-07 15:06:34,380] INFO django.server log_message:213 - "OPTIONS /api/exams/ HTTP/1.1" 200 0
[2025-08-07 15:06:34,393] INFO django.server log_message:213 - "OPTIONS /api/courses/ HTTP/1.1" 200 0
[2025-08-07 15:06:34,396] INFO django.server log_message:213 - "OPTIONS /api/users/teachers/ HTTP/1.1" 200 0
[2025-08-07 15:06:34,401] INFO django.server log_message:213 - "OPTIONS /api/exams/ HTTP/1.1" 200 0
[2025-08-07 15:06:34,407] INFO django.server log_message:213 - "OPTIONS /api/courses/ HTTP/1.1" 200 0
[2025-08-07 15:06:34,411] INFO django.server log_message:213 - "OPTIONS /api/users/teachers/ HTTP/1.1" 200 0
[2025-08-07 15:06:34,672] INFO django.server log_message:213 - "GET /api/users/teachers/ HTTP/1.1" 200 709
[2025-08-07 15:06:34,729] INFO django.server log_message:213 - "GET /api/exams/ HTTP/1.1" 200 2296
[2025-08-07 15:06:34,751] INFO django.server log_message:213 - "GET /api/courses/ HTTP/1.1" 200 2651
[2025-08-07 15:06:36,718] INFO django.server log_message:213 - "GET /api/users/teachers/ HTTP/1.1" 200 709
[2025-08-07 15:06:36,734] INFO django.server log_message:213 - "GET /api/exams/ HTTP/1.1" 200 2296
[2025-08-07 15:06:36,786] INFO django.server log_message:213 - "GET /api/courses/ HTTP/1.1" 200 2651
[2025-08-07 15:07:00,013] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 15:07:00,055] INFO django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 200 289
[2025-08-07 15:07:01,823] INFO django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 200 289
[2025-08-07 15:07:09,553] INFO django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 200 289
[2025-08-07 15:07:09,852] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 15:07:11,518] INFO django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 200 289
[2025-08-07 15:07:11,527] INFO django.server log_message:213 - "OPTIONS /api/admin/analytics/?days=30 HTTP/1.1" 200 0
[2025-08-07 15:07:12,509] ERROR django.server log_message:213 - "GET /api/admin/analytics/?days=30 HTTP/1.1" 500 105545
[2025-08-07 15:07:17,238] ERROR django.server log_message:213 - "GET /api/admin/analytics/?days=30 HTTP/1.1" 500 105545
[2025-08-07 15:07:30,701] INFO django.server log_message:213 - "OPTIONS /api/admin/analytics/?days=90 HTTP/1.1" 200 0
[2025-08-07 15:07:31,047] ERROR django.server log_message:213 - "GET /api/admin/analytics/?days=90 HTTP/1.1" 500 105545
[2025-08-07 15:07:36,426] ERROR django.server log_message:213 - "GET /api/admin/analytics/?days=90 HTTP/1.1" 500 105545
[2025-08-07 15:08:01,795] INFO django.utils.autoreload trigger_reload:265 - C:\Users\2129705\Python_Codes\Cursor\EduPortal\backend\api\serializers.py changed, reloading.
[2025-08-07 15:08:13,975] INFO django.utils.autoreload run_with_reloader:667 - Watching for file changes with StatReloader
[2025-08-07 15:14:02,301] INFO django.utils.autoreload run_with_reloader:667 - Watching for file changes with StatReloader
[2025-08-07 15:14:09,349] INFO django.server log_message:213 - "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
[2025-08-07 15:14:10,708] INFO django.server log_message:213 - "POST /api/auth/login/ HTTP/1.1" 200 327
[2025-08-07 15:14:12,115] ERROR django.server log_message:213 - "GET /api/admin/analytics/?days=7 HTTP/1.1" 500 105411
[2025-08-07 15:14:12,169] ERROR django.server log_message:213 - "GET /api/admin/stats/ HTTP/1.1" 500 104959
[2025-08-07 15:14:12,311] ERROR django.server log_message:213 - "GET /api/admin/recent_activity/ HTTP/1.1" 500 105158
[2025-08-07 15:14:21,728] ERROR django.server log_message:213 - "GET /api/admin/stats/ HTTP/1.1" 500 104959
[2025-08-07 15:14:21,867] ERROR django.server log_message:213 - "GET /api/admin/analytics/?days=7 HTTP/1.1" 500 105411
[2025-08-07 15:14:22,195] ERROR django.server log_message:213 - "GET /api/admin/recent_activity/ HTTP/1.1" 500 105158
[2025-08-07 15:14:41,712] INFO django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 200 289
[2025-08-07 15:14:41,842] INFO django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 200 289
[2025-08-07 15:14:41,900] INFO django.server log_message:213 - "GET /api/users/ HTTP/1.1" 200 3561
[2025-08-07 15:14:42,008] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 15:14:42,028] INFO django.server log_message:213 - "GET /api/users/ HTTP/1.1" 200 3561
[2025-08-07 15:15:05,052] INFO django.server log_message:213 - "OPTIONS /api/users/1/ HTTP/1.1" 200 0
[2025-08-07 15:15:05,112] WARNING django.server log_message:213 - "PUT /api/users/1/ HTTP/1.1" 403 108
[2025-08-07 15:15:32,474] INFO django.utils.autoreload trigger_reload:265 - C:\Users\2129705\Python_Codes\Cursor\EduPortal\backend\eduportal\settings.py changed, reloading.
[2025-08-07 15:15:45,575] INFO django.utils.autoreload run_with_reloader:667 - Watching for file changes with StatReloader
[2025-08-07 15:15:53,977] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 15:15:54,469] INFO django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 200 289
[2025-08-07 15:15:54,529] INFO django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 200 289
[2025-08-07 15:15:54,708] INFO django.server log_message:213 - "GET /api/users/ HTTP/1.1" 200 3561
[2025-08-07 15:15:54,816] INFO django.server log_message:213 - "GET /api/users/ HTTP/1.1" 200 3561
[2025-08-07 15:16:05,355] INFO django.utils.autoreload trigger_reload:265 - C:\Users\2129705\Python_Codes\Cursor\EduPortal\backend\api\views.py changed, reloading.
[2025-08-07 15:16:23,450] INFO django.utils.autoreload run_with_reloader:667 - Watching for file changes with StatReloader
